"BRABER";"BRABER mustlagle"
"BRARUF";"BRARUF punakael-lagle"
"BRALEU";"BRALEU valgepõsk-lagle"
"ANSANS";"ANSANS hallhani (roohani)"
"ANSFAB";"ANSFAB rabahani"
"ANSBRA";"ANSBRA lühinokk-hani"
"ANSSER";"ANSSER tundrahani (tundra-rabahani)"
"ANSALB";"ANSALB suur-laukhani"
"ANSERY";"ANSERY väike-laukhani"
"CYGOLO";"CYGOLO kühmnokk-luik"
"CYGCOL";"CYGCOL väikeluik"
"CYGCYG";"CYGCYG laululuik"
"TADTAD";"TADTAD ristpart"
"TADFER";"TADFER tulipart"
"SPAQUE";"SPAQUE rägapart"
"SPADIS";"SPADIS sini-rägapart"
"SPACLY";"SPACLY luitsnokk-part"
"MARSTR";"MARSTR rääkspart"
"MARPEN";"MARPEN viupart"
"MARAME";"MARAME ameerika viupart"
"ANAPLA";"ANAPLA sinikael-part"
"ANAACU";"ANAACU soopart (pahlsaba-part)"
"ANACRE";"ANACRE piilpart"
"ANACAR";"ANACAR ameerika piilpart"
"NETRUF";"NETRUF punanokk-vart"
"AYTFER";"AYTFER punapea-vart"
"AYTNYR";"AYTNYR valgesilm-vart (ruskevart)"
"AYTCOL";"AYTCOL lannuvart"
"AYTFUL";"AYTFUL tuttvart"
"AYTMAR";"AYTMAR merivart"
"POLSTE";"POLSTE kirjuhahk"
"SOMSPE";"SOMSPE kuninghahk"
"SOMMOL";"SOMMOL hahk (harilik hahk)"
"MELPER";"MELPER prillvaeras"
"MELFUS";"MELFUS tõmmuvaeras"
"MELSTE";"MELSTE siberi tõmmuvaer"
"MELNIG";"MELNIG mustvaeras"
"MELAME";"MELAME ida-mustvaeras"
"CLAHYE";"CLAHYE aul"
"BUCCLA";"BUCCLA sõtkas"
"MERALB";"MERALB väikekoskel (pudukoskel)"
"MERMER";"MERMER jääkoskel"
"MERSER";"MERSER rohukoskel"
"TETBON";"TETBON laanepüü"
"LAGLAG";"LAGLAG rabapüü"
"TETURO";"TETURO metsis (mõtus)"
"LYRTET";"LYRTET teder"
"PERPER";"PERPER nurmkana"
"COTCOT";"COTCOT põldvutt"
"CAPEUR";"CAPEUR öösorr (harilik öösorr)"
"TACMEL";"TACMEL Suurpiiritaja"
"APUAPU";"APUAPU piiritaja (piirpääsuke)"
"APUPAL";"APUPAL randpiiritaja"
"OTITAR";"OTITAR suurtrapp"
"CUCCAN";"CUCCAN kägu (harilik kägu)"
"COLOEN";"COLOEN õõnetuvi"
"COLPAL";"COLPAL kaelustuvi (meigas)"
"STRTUR";"STRTUR turteltuvi (harilik turteltuvi)"
"STRORI";"STRORI suur-turteltuvi"
"STRDEC";"STRDEC kaelus-turteltuvi (pargi-turteltuvi)"
"RALAQU";"RALAQU rooruik"
"CRECRE";"CRECRE rukkirääk"
"PORANA";"PORANA täpikhuik"
"GALCHL";"GALCHL tait"
"FULATR";"FULATR lauk"
"ZAPPUS";"ZAPPUS värbhuik"
"ZAPPAR";"ZAPPAR väikehuik"
"ANTCAN";"ANTCAN kanada kurg"
"GRUVIR";"GRUVIR neitsikurg"
"GRUGRU";"GRUGRU sookurg"
"TACRUF";"TACRUF väikepütt (punakael-pütt)"
