"BRABER";"mustlagle"
"BRARUF";"punakael-lagle"
"BRALEU";"valgepõsk-lagle"
"ANSANS";"hallhani (roohani)"
"ANSFAB";"rabahani"
"ANSBRA";"lühinokk-hani"
"ANSSER";"tundrahani (tundra-rabahani)"
"ANSALB";"suur-laukhani"
"ANSERY";"väike-laukhani"
"CYGOLO";"kühmnokk-luik"
"CYGCOL";"väikeluik"
"CYGCYG";"laululuik"
"TADTAD";"ristpart"
"TADFER";"tulipart"
"SPAQUE";"rägapart"
"SPADIS";"sini-rägapart"
"SPACLY";"luitsnokk-part"
"MARSTR";"rääkspart"
"MARPEN";"viupart"
"MARAME";"ameerika viupart"
"ANAPLA";"sinikael-part"
"ANAACU";"soopart (pahlsaba-part)"
"ANACRE";"piilpart"
"ANACAR";"ameerika piilpart"
"NETRUF";"punanokk-vart"
"AYTFER";"punapea-vart"
"AYTNYR";"valgesilm-vart (ruskevart)"
"AYTCOL";"lannuvart"
"AYTFUL";"tuttvart"
"AYTMAR";"merivart"
"POLSTE";"kirjuhahk"
"SOMSPE";"kuninghahk"
"SOMMOL";"hahk (harilik hahk)"
"MELPER";"prillvaeras"
"MELFUS";"tõmmuvaeras"
"MELSTE";"siberi tõmmuvaer"
"MELNIG";"mustvaeras"
"MELAME";"ida-mustvaeras"
"CLAHYE";"aul"
"BUCCLA";"sõtkas"
"MERALB";"väikekoskel (pudukoskel)"
"MERMER";"jääkoskel"
"MERSER";"rohukoskel"
"TETBON";"laanepüü"
"LAGLAG";"rabapüü"
"TETURO";"metsis (mõtus)"
"LYRTET";"teder"
"PERPER";"nurmkana"
"COTCOT";"põldvutt"
"CAPEUR";"öösorr (harilik öösorr)"
"TACMEL";"Suurpiiritaja"
"APUAPU";"piiritaja (piirpääsuke)"
"APUPAL";"randpiiritaja"
"OTITAR";"suurtrapp"
"CUCCAN";"kägu (harilik kägu)"
"COLOEN";"õõnetuvi"
"COLPAL";"kaelustuvi (meigas)"
"STRTUR";"turteltuvi (harilik turteltuvi)"
"STRORI";"suur-turteltuvi"
"STRDEC";"kaelus-turteltuvi (pargi-turteltuvi)"
"RALAQU";"rooruik"
"CRECRE";"rukkirääk"
"PORANA";"täpikhuik"
"GALCHL";"tait"
"FULATR";"lauk"
"ZAPPUS";"värbhuik"
"ZAPPAR";"väikehuik"
"ANTCAN";"kanada kurg"
"GRUVIR";"neitsikurg"
"GRUGRU";"sookurg"
"TACRUF";"väikepütt (punakael-pütt)"
"PODGRI";"hallpõsk-pütt"
"PODCRI";"tuttpütt"
"PODAUR";"sarvikpütt"
"PODNIG";"mustkael-pütt"
"BUROED";"jämejalg (harilik jämejalg)"
"HAEOST";"merisk"
"HIMHIM";"karkjalg (harilik karkjalg)"
"RECAVO";"naaskelnokk (harilik naaskelnokk)"
"VANVAN";"kiivitaja (harilik kiivitaja)"
"VANGRE";"stepikiivitaja"
"VANLEU";"valgesaba-kiivitaja"
