"BRABER";"Branta bernicla"
"BRARUF";"Branta ruficollis"
"BRALEU";"Branta leucopsis"
"ANSANS";"Anser anser"
"ANSFAB";"Anser fabalis"
"ANSBRA";"Anser brachyrhynchus"
"ANSSER";"Anser serrirostris"
"ANSALB";"Anser albifrons"
"ANSERY";"Anser erythropus"
"CYGOLO";"Cygnus olor"
"CYGCOL";"Cygnus columbianus"
"CYGCYG";"Cygnus cygnus"
"TADTAD";"Tadorna tadorna"
"TADFER";"Tadorna ferruginea"
"SPAQUE";"Spatula querquedula"
"SPADIS";"Spatula discors"
"SPACLY";"Spatula clypeata"
"MARSTR";"Mareca strepera"
"MARPEN";"Mareca penelope"
"MARAME";"Mareca americana"
"ANAPLA";"Anas platyrhynchos"
"ANAACU";"Anas acuta"
"ANACRE";"Anas crecca"
"ANACAR";"Anas crecca carolinensis"
"NETRUF";"Netta rufina"
"AYTFER";"Aythya ferina"
"AYTNYR";"Aythya nyroca"
"AYTCOL";"Aythya collaris"
"AYTFUL";"Aythya fuligula"
"AYTMAR";"Aythya marila"
"POLSTE";"Polysticta stelleri"
"SOMSPE";"Somateria spectabilis"
"SOMMOL";"Somateria mollissima"
"MELPER";"Melanitta perspicillata"
"MELFUS";"Melanitta fusca"
"MELSTE";"Melanitta stejnegeri"
"MELNIG";"Melanitta nigra"
"MELAME";"Melanitta americana"
"CLAHYE";"Clangula hyemalis"
"BUCCLA";"Bucephala clangula"
"MERALB";"Mergellus albellus"
"MERMER";"Mergus merganser"
"MERSER";"Mergus serrator"
"TETBON";"Tetrastes bonasia"
"LAGLAG";"Lagopus lagopus"
"TETURO";"Tetrao urogallus"
"LYRTET";"Lyrurus tetrix"
"PERPER";"Perdix perdix"
"COTCOT";"Coturnix coturnix"
"CAPEUR";"Caprimulgus europaeus"
"TACMEL";"Tachymarptis melba"
"APUAPU";"Apus apus"
"APUPAL";"Apus pallidus"
"OTITAR";"Otis tarda"
"CUCCAN";"Cuculus canorus"
"COLOEN";"Columba oenas"
"COLPAL";"Columba palumbus"
"STRTUR";"Streptopelia turtur"
"STRORI";"Streptopelia orientalis"
"STRDEC";"Streptopelia decaocto"
"RALAQU";"Rallus aquaticus"
"CRECRE";"Crex crex"
"PORANA";"Porzana porzana"
"GALCHL";"Gallinula chloropus"
"FULATR";"Fulica atra"
"ZAPPUS";"Zapornia pusilla"
"ZAPPAR";"Zapornia parva"
"ANTCAN";"Antigone canadensis"
"GRUVIR";"Grus virgo"
"GRUGRU";"Grus grus"
"TACRUF";"Tachybaptus ruficollis"
"PODGRI";"Podiceps grisegena"
"PODCRI";"Podiceps cristatus"
"PODAUR";"Podiceps auritus"
"PODNIG";"Podiceps nigricollis"
"BUROED";"Burhinus oedicnemus"
"HAEOST";"Haematopus ostralegus"
"HIMHIM";"Himantopus himantopus"
"RECAVO";"Recurvirostra avosetta"
"VANVAN";"Vanellus vanellus"
"VANGRE";"Vanellus gregarius"
"VANLEU";"Vanellus leucurus"
"PLUAPR";"Pluvialis apricaria"
"PLUFUL";"Pluvialis fulva"
"PLUSQU";"Pluvialis squatarola"
"CHAHIA";"Charadrius hiaticula"
"CHADUB";"Charadrius dubius"
"CHAALE";"Charadrius alexandrinus"
"CHALES";"Charadrius leschenaultii"
"CHAMOR";"Charadrius morinellus"
"NUMPHA";"Numenius phaeopus"
"NUMARQ";"Numenius arquata"
"LIMLAP";"Limosa lapponica"
"LIMLIM";"Limosa limosa"
"AREINT";"Arenaria interpres"
"CALCAN";"Calidris canutus"
"CALPUG";"Calidris pugnax"
"CALFAL";"Calidris falcinellus"
"CALACU";"Calidris acuminata"
"CALFER";"Calidris ferruginea"
"CALTEM";"Calidris temminckii"
"CALALB";"Calidris alba"
"CALALP";"Calidris alpina"
"CALMAR";"Calidris maritima"
"CALUTA";"Calidris minuta"
"CALSRU";"Calidris subruficollis"
"CALMEL";"Calidris melanotos"
"CALPUS";"Calidris pusilla"
"LIMSCO";"Limnodromus scolopaceus"
"SCORUS";"Scolopax rusticola"
"LYMMIN";"Lymnocryptes minimus"
"GALMED";"Gallinago media"
"GALGAL";"Gallinago gallinago"
"XENCIN";"Xenus cinereus"
"PHATRI";"Phalaropus tricolor"
"PHALOB";"Phalaropus lobatus"
"PHAFUL";"Phalaropus fulicaria"
"ACTHYP";"Actitis hypoleucos"
"ACTMAC";"Actitis macularius"
"TRIOCH";"Tringa ochropus"
"TRITOT";"Tringa totanus"
"TRISTA";"Tringa stagnatilis"
"TRIGLA";"Tringa glareola"
"TRIERY";"Tringa erythropus"
"TRINEB";"Tringa nebularia"
"GLAPRA";"Glareola pratincola"
"GLANOR";"Glareola nordmanni"
"RISTRI";"Rissa tridactyla"
"PAGEBU";"Pagophila eburnea"
"XEMSAB";"Xema sabini"
"CHRRID";"Chroicocephalus ridibundus"
"HYDMIN";"Hydrocoloeus minutus"
"RHOROS";"Rhodostethia rosea"
"ICHMEL";"Ichthyaetus melanocephalus"
"LARCAN";"Larus canus"
"LARMAR";"Larus marinus"
"LARHYP";"Larus hyperboreus"
"LARGLA";"Larus glaucoides"
"LARARG";"Larus argentatus"
"LARCAC";"Larus cachinnans"
"LARMIC";"Larus michahellis"
"LARSCH";"Larus schistisagus"
"LARFUS";"Larus fuscus"
"GELNIL";"Gelochelidon nilotica"
"HYDCAS";"Hydroprogne caspia"
"THASAN";"Thalasseus sandvicensis"
"STEALB";"Sternula albifrons"
"STEHIR";"Sterna hirundo"
"STEAEA";"Sterna paradisaea"
"CHLHYB";"Chlidonias hybrida"
"CHLLEU";"Chlidonias leucopterus"
"CHLNIG";"Chlidonias niger"
"STESKU";"Stercorarius skua"
"STEPOM";"Stercorarius pomarinus"
"STECUS";"Stercorarius parasiticus"
"STELON";"Stercorarius longicaudus"
"ALLALL";"Alle alle"
"URIAAL";"Uria aalge"
"ALCTOR";"Alca torda"
"CEPGRY";"Cepphus grylle"
"GAVSTE";"Gavia stellata"
"GAVARC";"Gavia arctica"
"GAVIMM";"Gavia immer"
"GAVADA";"Gavia adamsii"
"HYDLEU";"Hydrobates leucorhous"
"CALDIO";"Puffinus puffinus"
"PUFMAU";"Puffinus mauretanicus"
"CICNIG";"Ciconia nigra"
"CICCIC";"Ciconia ciconia"
"MORBAS";"Morus bassanus"
"PHACAR";"Phalacrocorax carbo"
"PLEFAL";"Plegadis falcinellus"
"PLALEU";"Platalea leucorodia"
"BOTSTE";"Botaurus stellaris"
"IXOMIN";"Ixobrychus minutus"
"NYCNYC";"Nycticorax nycticorax"
"BUBIBI";"Bubulcus ibis"
"ARDCIN";"Ardea cinerea"
"ARDPUR";"Ardea purpurea"
"ARDALB";"Ardea alba"
"EGRGAR";"Egretta garzetta"
